annee_installation,vitesse_vehicules_legers_kmh,departement
2003,50.0,3
2003,70.0,8
2003,80.0,5
2003,90.0,8
2003,110.0,6
2003,130.0,3
2004,50.0,6
2004,70.0,21
2004,80.0,20
2004,90.0,15
2004,110.0,6
2004,130.0,2
2005,30.0,2
2005,50.0,49
2005,70.0,53
2005,80.0,179
2005,90.0,51
2005,110.0,27
2005,130.0,1
2006,50.0,12
2006,70.0,26
2006,80.0,72
2006,90.0,24
2006,110.0,14
2006,130.0,7
2007,50.0,11
2007,70.0,41
2007,80.0,121
2007,90.0,31
2007,110.0,19
2007,130.0,10
2008,50.0,32
2008,70.0,46
2008,80.0,171
2008,90.0,26
2008,110.0,16
2008,130.0,11
2009,50.0,54
2009,70.0,53
2009,80.0,100
2009,90.0,21
2009,110.0,11
2009,130.0,4
2010,50.0,20
2010,70.0,11
2010,80.0,50
2010,90.0,4
2010,110.0,1
2010,130.0,1
2011,50.0,38
2011,70.0,57
2011,80.0,124
2011,90.0,9
2011,110.0,4
2011,130.0,1
2012,50.0,45
2012,70.0,30
2012,80.0,110
2012,90.0,22
2012,110.0,15
2012,130.0,11
2013,50.0,11
2013,70.0,23
2013,80.0,57
2013,90.0,32
2013,110.0,35
2013,130.0,17
2014,50.0,10
2014,70.0,11
2014,80.0,36
2014,90.0,19
2014,110.0,20
2014,130.0,13
2015,70.0,7
2015,80.0,13
2015,90.0,11
2015,110.0,5
2015,130.0,6
2016,50.0,1
2016,70.0,5
2016,80.0,11
2016,90.0,14
2016,110.0,68
2016,130.0,37
2017,50.0,2
2017,70.0,3
2017,80.0,3
2017,90.0,7
2017,110.0,30
2017,130.0,6
2018,110.0,7
